"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|FR","17873.38","17686.70","17686.70","16124.00"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|FR","17808.76","17652.50","17652.50","16055.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FR","17706.45","17644.34","17644.34","14970.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FR","17593.67","17616.84","17616.84","9681.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FR","17475.89","17580.19","17580.19","9585.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FR","17583.85","17726.58","17726.58","9515.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FR","17690.48","17862.40","17862.40","14618.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FR","17793.02","16796.16","16796.16","15676.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FR","18014.73","17317.37","17317.37","15852.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FR","18235.91","17653.97","17653.97","15974.00"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|FR","18458.77","17879.23","17200.12","15710.00"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|FR","18713.67","18276.49","17879.55","15615.00"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|FR","18966.63","18646.57","18395.95","15795.00"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|FR","19216.05","18988.05","18812.64","16152.00"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|FR","19204.24","19118.76","18997.63","16208.00"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|FR","19191.45","19239.63","19156.08","16179.00"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|FR","19180.08","19345.53","19289.71","16269.00"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|FR","19009.20","19177.70","19146.66","16697.00"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|FR","18842.51","19005.17","18995.62","16713.00"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|FR","18676.54","18831.67","18831.87","16596.00"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|FR","18201.87","18526.52","18529.66","16444.00"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|FR","17726.61","18217.60","18223.64","16295.00"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|FR","17250.35","17905.56","17916.56","16073.00"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|FR","16745.33","17144.39","17159.32","15563.00"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|FR","16029.53","16096.81","16096.81","14967.00"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|FR","15409.39","15534.80","15534.80","14589.00"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|FR","14749.11","14750.70","14750.70","13833.00"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|FR","14075.38","13949.87","13949.87","13421.00"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|FR","13396.11","13140.06","13140.06","12959.00"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|FR","12425.67","12114.50","12114.50","12289.00"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|FR","11454.10","11079.79","11079.79","11522.00"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|FR","10478.21","10739.55","10739.55","10522.00"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|FR","9729.11","10246.21","10246.21","9878.00"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|FR","8979.98","9795.90","9795.90","9259.00"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|FR","8240.54","9346.75","9246.69","8610.00"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|FR","8181.59","9440.32","9340.85","7969.00"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|FR","8124.98","9544.99","9458.36","7710.00"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|FR","8064.79","9652.71","9579.11","7799.00"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|FR","8512.24","9926.22","9860.05","7882.00"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|FR","8960.56","10201.06","10142.14","7863.00"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|FR","9410.26","10477.55","10420.78","8345.00"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|FR","9905.74","11444.56","11393.35","9361.00"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|FR","10406.59","12411.10","12356.22","10588.00"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|FR","10908.94","13374.83","13316.19","11821.00"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|FR","10928.64","13307.81","13253.47","12269.00"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|FR","10948.74","13241.56","13190.46","12536.00"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|FR","10971.51","13176.32","13127.73","12447.00"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|FR","10531.12","12852.09","12804.68","11712.00"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|FR","10935.93","11975.61","11975.61","11381.00"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|FR","10416.04","11677.69","11677.69","11271.00"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|FR","10326.83","11457.08","11457.08","10914.00"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|FR","10230.93","11233.19","11233.19","10452.00"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|FR","10134.02","11005.80","11005.80","10158.00"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|FR","9749.91","10586.52","10586.52","9850.00"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|FR","9365.00","10165.40","10165.40","9350.00"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|FR","8978.23","8842.43","8842.43","8601.00"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|FR","8122.72","8172.45","8172.45","7897.00"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|FR","7267.73","7557.00","7557.00","7253.00"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|FR","6416.40","6974.14","6842.53","7030.00"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|FR","6112.79","6944.18","6824.36","6535.00"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|FR","5809.65","6923.63","6819.90","6155.00"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|FR","5506.78","6911.45","6821.47","6079.00"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|FR","5077.02","6294.85","6211.08","5906.00"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|FR","4648.42","5679.46","5603.05","5671.00"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|FR","4222.01","5067.54","4995.10","5093.00"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|FR","4058.33","4815.75","4747.27","4357.00"
