"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","240.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FR","307.11","325.75","325.75","317.00"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|FR","1847.39","1872.96","1653.07","871.00"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|FR","3423.40","3482.22","3311.63","1994.00"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|FR","4235.44","4183.03","4264.60","2900.00"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|FR","4461.87","4282.06","4456.24","3510.00"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|FR","3879.82","3624.76","3842.93","3519.00"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|FR","2627.20","2600.33","2758.65","2984.00"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|FR","1065.52","1066.01","1097.84","1727.00"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|FR","64.38","62.91","64.10","647.00"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","247.00"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
