"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","240.00","240.00","240.00","578.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","240.00","240.00","240.00","577.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","240.00","240.00","240.00","578.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","240.00","240.00","240.00","577.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","240.00","240.00","240.00","576.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","240.00","240.00","240.00","570.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","240.00","240.00","240.00","567.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","240.00","240.00","240.00","556.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","240.00","240.00","240.00","565.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","240.00","240.00","240.00","542.00"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","240.00","240.00","240.00","410.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","240.00","240.00","240.00","465.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","240.00","240.00","240.00","545.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","240.00","240.00","240.00","558.00"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","240.00","240.00","240.00","550.00"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","240.00","240.00","240.00","551.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","240.00","240.00","240.00","571.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","240.00","240.00","240.00","574.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","240.00","240.00","240.00","569.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","240.00","240.00","240.00","570.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","240.00","240.00","240.00","566.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","240.00","240.00","240.00","565.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FR","240.00","240.00","240.00","565.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FR","240.00","240.00","240.00","564.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FR","240.00","240.00","240.00","560.00"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FR","240.00","240.00","240.00","562.00"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FR","240.00","240.00","240.00","563.00"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FR","240.00","240.00","240.00","561.00"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|FR","240.00","240.00","240.00","564.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|FR","240.00","240.00","240.00","567.00"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|FR","240.00","240.00","240.00","567.00"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FR","240.00","240.00","240.00","567.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FR","240.00","240.00","240.00","568.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FR","240.00","240.00","240.00","566.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FR","240.00","240.00","240.00","564.00"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|FR","240.00","240.00","240.00","548.00"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|FR","240.00","240.00","240.00","564.00"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|FR","240.00","240.00","240.00","564.00"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|FR","240.00","240.00","240.00","565.00"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|FR","240.00","240.00","240.00","567.00"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|FR","240.00","240.00","240.00","565.00"
